document_id,query_id,round,user,position,Okapi,LM,TF,NormTF,LEN,FracStop,StopCover,ENT,BERT
ROUND-02-161_161_1_T-HK6IT5,161,2,HK6IT5,2,14.210657,-15.359734,20,9.368259,151,0.364238411,0.156424581,4.212664621,0.999759376
ROUND-02-161_161_1_T-XJJWBO,161,2,XJJWBO,1,13.216512,-16.832802,13,10.766306,144,0.430555556,0.156424581,4.1472063,0.999649525
ROUND-02-161_161_1_T-XK862E,161,2,XK862E,3,14.131392,-15.290911,21,9.30332,152,0.388157895,0.167597765,4.125150632,0.999627352
ROUND-02-161_161_1_T-AFOPDT,161,2,AFOPDT,4,13.610157,-16.14558,16,9.524563,118,0.43220339,0.173184358,3.875051128,0.999794424
ROUND-02-161_161_0_T-0RMWXM,161,2,0RMWXM,2,14.160325,-15.378714,19,8.286081,100,0.42,0.12849162,3.401292064,0.999826014
ROUND-02-161_161_0_T-7KO86D,161,2,7KO86D,3,14.236739,-15.245581,20,8.334907,107,0.401869159,0.139664804,3.51757088,0.999842644
ROUND-03-161_161_1_T-XJJWBO,161,3,XJJWBO,1,13.216512,-16.832802,13,10.766306,144,0.430555556,0.156424581,4.1472063,0.999649525
ROUND-03-161_161_1_T-HK6IT5,161,3,HK6IT5,4,14.001093,-15.847559,17,9.9757805,157,0.331210191,0.162011173,4.437283806,0.999729335
ROUND-03-161_161_0_T-7KO86D,161,3,7KO86D,3,14.325449,-15.0465145,23,9.020374,149,0.382550336,0.150837989,3.901536322,0.999831319
ROUND-03-161_161_0_T-0RMWXM,161,3,0RMWXM,2,14.435762,-14.56411,26,8.086842,127,0.417322835,0.150837989,3.518879868,0.999839187
ROUND-03-161_161_1_T-AFOPDT,161,3,AFOPDT,3,13.602287,-16.15453,16,9.923661,137,0.437956204,0.156424581,4.036921017,0.999785602
ROUND-03-161_161_1_T-XK862E,161,3,XK862E,2,14.131392,-15.290911,21,9.30332,152,0.388157895,0.167597765,4.125150632,0.999627352
ROUND-03-161_161_0_T-GZ4HPV,161,3,GZ4HPV,1,14.1813965,-15.348253,20,9.118801,138,0.362318841,0.122905028,3.919690898,0.999838591
ROUND-03-161_161_0_T-Z8LR6O,161,3,Z8LR6O,4,11.506227,-18.970295,5,6.7378564,15,0.4,0.027932961,2.351673302,0.999711096
ROUND-04-161_161_0_T-Z8LR6O,161,4,Z8LR6O,1,14.498068,-14.314418,29,8.070021,139,0.366906475,0.150837989,3.730432301,0.999836326
ROUND-04-161_161_0_T-0RMWXM,161,4,0RMWXM,4,14.446226,-14.498435,27,8.218913,137,0.401459854,0.156424581,3.555596223,0.99983573
